DEPT	AC	GR	SP	DEN	por	per	sw
2535.125	83.85	57.438	-205.337	2.455	8.385	5.7438	5.7438
2535.25	83.434	56.209	-205.799	2.444	8.3434	5.6209	5.6209
2535.375	83.337	55.139	-205.93	2.43	8.3337	5.5139	5.5139
2535.5	84.427	56.981	-205.32	2.419	8.4427	5.6981	5.6981
2535.625	84.797	57.905	-205.423	2.425	8.4797	5.7905	5.7905
2535.75	85.166	58.623	-205.701	2.429	8.5166	5.8623	5.8623
2535.875	86.058	59.615	-205.682	2.435	8.6058	5.9615	5.9615
2536	86.904	58.325	-205.413	2.431	8.6904	5.8325	5.8325
2536.125	87.396	58.204	-205.065	2.412	8.7396	5.8204	5.8204
2536.25	88.381	59.163	-204.757	2.393	8.8381	5.9163	5.9163
2536.375	88.48	60.663	-204.95	2.388	8.848	6.0663	6.0663
2536.5	88.438	61.701	-205.039	2.39	8.8438	6.1701	6.1701
2536.625	89.377	61.107	-204.869	2.394	8.9377	6.1107	6.1107
2536.75	90.193	58.001	-204.576	2.397	9.0193	5.8001	5.8001
2536.875	89.113	55.639	-204.406	2.397	8.9113	5.5639	5.5639
2537	89.728	56.205	-204.099	2.399	8.9728	5.6205	5.6205
2537.125	89.619	59.656	-204.334	2.407	8.9619	5.9656	5.9656
2537.25	89.931	64.592	-204.267	2.407	8.9931	6.4592	6.4592
2537.375	89.83	68.378	-203.965	2.402	8.983	6.8378	6.8378
2537.5	89.267	66.973	-203.722	2.4	8.9267	6.6973	6.6973
2537.625	90	63.029	-203.876	2.393	9	6.3029	6.3029
2537.75	89.959	59.391	-204.081	2.399	8.9959	5.9391	5.9391
2537.875	90.273	57.322	-203.964	2.399	9.0273	5.7322	5.7322
2538	90.147	57.003	-203.904	2.401	9.0147	5.7003	5.7003
2538.125	90.042	58.33	-204.027	2.41	9.0042	5.833	5.833
2538.25	90.676	58.876	-204.303	2.431	9.0676	5.8876	5.8876
2538.375	90.882	58.428	-204.713	2.465	9.0882	5.8428	5.8428
2538.5	90.863	56.877	-205.31	2.488	9.0863	5.6877	5.6877
2538.625	90.566	54.741	-205.642	2.494	9.0566	5.4741	5.4741
2538.75	90.137	53.234	-205.75	2.495	9.0137	5.3234	5.3234
2538.875	89.863	53.732	-205.763	2.497	8.9863	5.3732	5.3732
2539	90.059	53.607	-205.805	2.49	9.0059	5.3607	5.3607
2539.125	88.828	53.824	-205.6	2.448	8.8828	5.3824	5.3824
2539.25	89.068	54.056	-205.438	2.421	8.9068	5.4056	5.4056
2539.375	90.058	53.658	-205.284	2.403	9.0058	5.3658	5.3658
2539.5	91.45	52.721	-205.091	2.401	9.145	5.2721	5.2721
2539.625	92.678	50.027	-204.843	2.42	9.2678	5.0027	5.0027
2539.75	91.899	49.295	-204.638	2.433	9.1899	4.9295	4.9295
2539.875	92.812	49.805	-204.481	2.442	9.2812	4.9805	4.9805
2540	92.864	51.318	-204.401	2.432	9.2864	5.1318	5.1318
2540.125	92.762	54.114	-204.144	2.418	9.2762	5.4114	5.4114
2540.25	92.769	54.059	-203.769	2.409	9.2769	5.4059	5.4059
